City,CoordinateNorth,CoordinateEast
Alajarvi,63.001273,23.817523
Espoo,60.206376,24.656729
Forssa,60.814791,23.616407
Hamina,60.569688,27.197901
Hanko,59.824969,22.966841
Heinola,61.205236,26.034841
Mustasaari,63.114054,21.680745
Helsinki,60.166641,24.943537
Huittinen,61.177546,22.699444
Humalajoki,62.694056,27.571009
Hyvinkaa,60.631017,24.861124
Hameenlinna,60.996174,24.464425
Iisalmi,63.559689,27.186984
Imatra,61.171527,28.769225
Ivalo,68.65,27.55
Jalasjarvi,62.492371,22.762967
Joensuu,62.602079,29.759679
Juva,61.897473,27.857336
Jyvaskyla,62.241678,25.749498
Jamsa,61.864257,25.190231
Kajaani,64.226734,27.728047
Kalajoki,64.26043,23.949156
Karkkila,60.534935,24.208211
Kauhava,63.10092,23.065244
Kemi,65.733635,24.563416
Kemijarvi,66.715019,27.430578
Keminmaa,65.798981,24.542629
Kiiminki,65.129704,25.77307
Kilpisjarvi,69.033333,20.783333
Kokkola,63.837583,23.131962
Kolari,67.331718,23.788974
Konho,61.215436,23.852896
Kotka,60.465521,26.941153
Kouvola,60.866825,26.705598
Kuopio,62.892983,27.688935
Kuusamo,65.964425,29.188616
Kyyjarvi,63.043411,24.566437
Kalvia,63.859104,23.452913
Karsamaki,63.980587,25.759667
Lahti,60.980381,25.654988
Laihia,62.977957,22.011173
Lappeenranta,61.05875,28.18769
Lapua,62.970169,23.00757
Lieto,60.506876,22.455933
Liminka,64.809795,25.411946
Liperi,62.534481,29.367862
Lohja,60.250916,24.065782
Loviisa,60.457733,26.22366
Luumaki,60.920925,27.55974
Mikkeli,61.687727,27.273224
Muhos,64.808919,25.99005
Muonio,67.959275,23.677223
Mantsala,60.636085,25.320205
Niirala,62.166667,30.616667
Niittylahti,62.508922,29.813237
Nivala,63.929638,24.953944
Nokia,61.478774,23.508499
Nousiainen,60.599115,22.08218
Nuijamaa,60.96158,28.53848
Nummela,60.333969,24.320553
Nurmes,63.544266,29.132996
Oulu,65.013785,25.472099
Outokumpu,62.726024,29.015423
Padasjoki,61.351408,25.277611
Paltamo,64.409447,27.832163
Parikkala,61.55513,29.501066
Parkano,62.010623,23.021041
Pello,66.775584,23.963478
Pori,61.483726,21.7959
Porvoo,60.395372,25.66656
Pudasjarvi,65.360947,26.999244
Punkaharju,61.755776,29.391029
Pyhajarvi,63.681835,25.985776
Pyhanta,64.09946,26.329978
Rauma,61.128738,21.511127
Rovaniemi,66.50279,25.728479
Salo,60.384374,23.126727
Savonlinna,61.869803,28.878498
Seinajoki,62.786663,22.84228
Siilinjarvi,63.073665,27.659699
Simo,65.66127,25.062297
Sodankyla,67.41492,26.590674
Taivalkoski,65.576252,28.240598
Tammisaari,59.975386,23.438064
Tampere,61.497743,23.76129
Tornio,65.84973,24.144092
Turku,60.45169,22.266867
Tuulos,61.115897,24.833875
Utajarvi,64.761696,26.416908
Utsjoki,69.907829,27.026541
Uusikaarlepyy,63.523126,22.530086
Vaala,64.560942,26.840674
Vaalimaa,60.595291,27.80814
Vaasa,63.092589,21.615874
Varkaus,62.313951,27.888587
Vihti,60.416792,24.319858
Ylistaro,62.939582,22.513055
Ahtari,62.552859,24.075018
